ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerID,Customers.CompanyName,Address,City,Region,PostalCode,Country,Salesperson,OrderID,OrderDate,RequiredDate,ShippedDate,Shippers.CompanyName,ProductID,ProductName,UnitPrice,Quantity,Discount,ExtendedPrice,Freight
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,田中 秀樹,10257,16.08.94 00:00,13.09.94 00:00,22.08.94 00:00,ペンギン,77,大陸サーモン,"10.4",15,0,156,"81.91"
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,田中 秀樹,10257,16.08.94 00:00,13.09.94 00:00,22.08.94 00:00,ペンギン,27,メロンミルクキャンディー,"35.1",25,0,"877.5","81.91"
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,田中 秀樹,10257,16.08.94 00:00,13.09.94 00:00,22.08.94 00:00,ペンギン,39,ラズベリーヨーグルト,"14.4",6,0,"86.4","81.91"
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,木下 和明,10413,14.02.95 00:00,14.03.95 00:00,22.02.95 00:00,トマト,62,きぬごしどうふ特上,0,1,0,0,"95.66"
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,木下 和明,10413,14.02.95 00:00,14.03.95 00:00,22.02.95 00:00,トマト,67,冷凍枝豆,0,1,0,0,"95.66"
アリス亭,野田市日之出町 27-XX,野田市,,270-0234,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,木下 和明,10413,14.02.95 00:00,14.03.95 00:00,22.02.95 00:00,トマト,52,うす味ウインナー,0,1,0,0,"95.66"
アリス亭,大田区大森東 1-35-X,大田区,,143-0012,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,森上 偉久馬,10553,30.06.95 00:00,28.07.95 00:00,12.06.95 00:00,トマト,57,和風ハンバーグレトルト,0,1,0,0,"149.49"
アリス亭,大田区大森東 1-35-X,大田区,,143-0012,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,森上 偉久馬,10553,30.06.95 00:00,28.07.95 00:00,12.06.95 00:00,トマト,25,アメリカンクラッカー,0,1,0,0,"149.49"
アリス亭,大田区大森東 1-35-X,大田区,,143-0012,千葉県,39,アリス亭,横浜市緑区千草台 7-X,横浜市,千草台,226-0000,神奈川県,森上 偉久馬,10553,30.06.95 00:00,28.07.95 00:00,12.06.95 00:00,トマト,28,小倉あんぱん,0,1,0,0,"149.49"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,正門 恵子,10258,17.08.94 00:00,14.09.94 00:00,23.08.94 00:00,アカネコ,84,コーンフレークチョコ,100,1,0,100,"140.51"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,正門 恵子,10258,17.08.94 00:00,14.09.94 00:00,23.08.94 00:00,アカネコ,2,果汁100% グレープ,"15.2",50,0.2,608,"140.51"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,正門 恵子,10258,17.08.94 00:00,14.09.94 00:00,23.08.94 00:00,アカネコ,1,果汁100% オレンジ,50,100,0,5000,"140.51"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,正門 恵子,10258,17.08.94 00:00,14.09.94 00:00,23.08.94 00:00,アカネコ,5,コーヒーマイルド,17,65,0.2,884,"140.51"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,正門 恵子,10258,17.08.94 00:00,14.09.94 00:00,23.08.94 00:00,アカネコ,32,パルメザンチーズ,"25.6",6,0.2,"122.88","140.51"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,松沢 彩子,10334,21.11.94 00:00,19.12.94 00:00,23.11.94 00:00,トマト,51,アメリカンポーク,100,100,0,10000,"8.56"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,松沢 彩子,10334,21.11.94 00:00,19.12.94 00:00,23.11.94 00:00,トマト,25,アメリカンクラッカー,100,50,0,5000,"8.56"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,松沢 彩子,10334,21.11.94 00:00,19.12.94 00:00,23.11.94 00:00,トマト,29,インドカレーパン,50,80,0,4000,"8.56"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,森上 偉久馬,10414,14.02.95 00:00,14.03.95 00:00,13.02.95 00:00,ペンギン,9,オタル白ラベル,450,5,0,2250,"21.48"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,森上 偉久馬,10414,14.02.95 00:00,14.03.95 00:00,13.02.95 00:00,ペンギン,5,コーヒーマイルド,100,10,0,1000,"21.48"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,森上 偉久馬,10414,14.02.95 00:00,14.03.95 00:00,13.02.95 00:00,ペンギン,6,コーヒービター,120,5,0,600,"21.48"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,田中 秀樹,10470,11.04.95 00:00,09.05.95 00:00,29.03.95 00:00,トマト,35,ローカロリー牛乳,150,1,0,150,"64.56"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,田中 秀樹,10470,11.04.95 00:00,09.05.95 00:00,29.03.95 00:00,トマト,31,ロッキーチーズ,50,1,0,50,"64.56"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,森上 偉久馬,10516,25.05.95 00:00,22.06.95 00:00,12.05.95 00:00,ペンギン,77,大陸サーモン,0,1,0,0,"62.78"
イルカランド,大田区萩中 2-4-X,大田区,,144-0047,東京都,37,イルカランド,成田市台方 XXX,成田市,,286-0003,千葉県,森上 偉久馬,10516,25.05.95 00:00,22.06.95 00:00,12.05.95 00:00,ペンギン,57,和風ハンバーグレトルト,0,1,0,0,"62.78"
