"ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry","CustomerID","Customers_CompanyName","Address","City","Region","PostalCode","Country","Salesperson","OrderID","OrderDate","RequiredDate","ShippedDate","Shippers_CompanyName","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice","Freight"
"洋風居酒屋けい・えっくす","鹿児島市宇宿町 2655-XX","鹿児島市","宇宿町","890-0074","鹿児島県","27","洋風居酒屋けい・えっくす","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","高橋 真紀",10255,1994/8/12,1994/9/9,1994/8/15,"ペンギン",1,"果汁100% オレンジ",50,100,0.00,5000,148
"イルカランド","大田区萩中 2-4-X","大田区",,"144-0047","東京都","37","イルカランド","成田市台方 XXX","成田市",,"286-0003","千葉県","正門 恵子",10258,1994/8/17,1994/9/14,1994/8/23,"アカネコ",1,"果汁100% オレンジ",50,100,0.00,5000,141
"惣菜びみ","西春日井郡豊山町豊場新田 17-X","西春日井","豊山町","480-0202","愛知県","24","惣菜びみ","仙台市太白区人来田 3-15-XX","仙台市","太白区","982-0222","宮城県","東海 誠一",10274,1994/9/6,1994/10/4,1994/9/16,"アカネコ",1,"果汁100% オレンジ",250,500,0.00,125000,6
"甘味喫茶ダイ","逗子市山の根 3-15-XX","逗子市",,"249-0002","神奈川県","43","甘味喫茶ダイ","草加市吉町 3-4-X","草加市",,"340-0017","埼玉県","森上 偉久馬",10300,1994/10/10,1994/11/7,1994/10/12,"トマト",1,"果汁100% オレンジ",0,1,0.00,0,18
"商店せんしょう","伊丹市池尻 5-XX","伊丹市",,"664-0027","兵庫県","20","商店せんしょう","札幌市手稲区前田 4-9-3-XX","札幌市","手稲区前田","006-0814","北海道","高橋 真紀",10324,1994/11/8,1994/12/6,1994/11/18,"アカネコ",1,"果汁100% オレンジ",250,5,0.00,1250,214
"酒蔵でん","板野郡藍住町住吉 5-XXX","板野郡",,"771-1264","徳島県","6","酒蔵でん","志木市幸町 1-8-40-XXXX","志木市",,"353-0005","埼玉県","正門 恵子",10361,1994/12/23,1995/1/20,1994/12/21,"トマト",1,"果汁100% オレンジ",0,1,0.00,0,183
"洋食ちくさ","名古屋市瑞穂区中根町 5-4-X","名古屋市",,"467-0055","愛知県","25","洋食ちくさ","吹田市竹見台 2-X","吹田市",,"565-0863","大阪府","松沢 彩子",10408,1995/2/8,1995/3/8,1995/2/16,"アカネコ",1,"果汁100% オレンジ",250,50,0.00,12500,11
"レストラン石坂","志木市幸町 1-8-40-XXXX","志木市",,"353-0005","埼玉県","48","レストラン石坂","逗子市山の根 3-15-XX","逗子市",,"249-0002","神奈川県","高橋 真紀",10411,1995/2/10,1995/3/10,1995/2/9,"ペンギン",1,"果汁100% オレンジ",0,1,0.00,0,24
"ジャンボストアー","成田市加良部 5-3-X","成田市",,"286-0036","千葉県","34","ジャンボストアー","広島市西区観音新町 1-16-X","広島市","西区","733-0036","広島県","木下 和明",10420,1995/2/21,1995/3/21,1995/2/21,"アカネコ",1,"果汁100% オレンジ",250,50,0.00,12500,44
"月野株式会社","仙台市太白区人来田 3-15-XX","仙台市",,"982-0222","宮城県","17","月野株式会社","長野市大豆島 1798-X","長野市",,"381-0022","長野県","東海 誠一",10425,1995/2/24,1995/3/24,1995/2/24,"トマト",1,"果汁100% オレンジ",250,50,0.00,12500,8
"居酒屋ななべえ","京都市西京区山田平尾町 73-X","京都市西",,"615-8256","京都府","5","居酒屋ななべえ","世田谷区奥沢 1-37-XX","世田谷区",,"158-0083","東京都","東海 誠一",10446,1995/3/17,1995/4/14,1995/4/4,"アカネコ",1,"果汁100% オレンジ",0,1,0.00,0,15
"大宮ユニオン","草加市吉町 3-4-X","草加市",,"340-0017","埼玉県","38","大宮ユニオン","横浜市南区大岡 1-44-X","横浜市",,"232-0061","神奈川県","正門 恵子",10469,1995/4/10,1995/5/8,1995/4/12,"アカネコ",1,"果汁100% オレンジ",250,1,0.00,250,60
